Kategori,İlaç,Yan Etkiler,Kontrendikasyonlar,Özel Notlar,Doz
Kardiyovasküler Sistem,Nitrogliserin,"Baş ağrısı, hipotansiyon","Hipotansiyon, ciddi anemi","Viagra ile etkileşim","0.3-0.6 mg dilaltı"
Kardiyovasküler Sistem,Propranolol,"Bradikardi, yorgunluk","Astım, kalp yetmezliği","Ani kesilme yapılmamalı","40-160 mg/gün"
Kardiyovasküler Sistem,Verapamil,"Kabızlık, baş dönmesi","Kalp yetmezliği, bradikardi","Myokard depresyonu","80-120 mg 3x1"
Kardiyovasküler Sistem,Diltiazem,"Baş ağrısı, ödem","Sinüs bradikardisi, AV blok","Kan basıncı kontrolü","2.5 mg/kg IV"
Kardiyovasküler Sistem,Aspirin,"Mide ağrısı, kanama","Peptik ülser, hemofili","Platelet inhibisyonu","75-325 mg/gün"
Kardiyovasküler Sistem,Warfarin,"Kanama, hematom","Hemorajik diyatez, gebelik","INR 2-3 aralığı","2-10 mg/gün"
Kardiyovasküler Sistem,Heparin,"HIT, kanama","Trombositopeni, aktif kanama","aPTT kontrolü","5000 IU SC"
Kardiyovasküler Sistem,Clopidogrel,"Kanama, ekimoz","Aktif kanama, karaciğer yetmezliği","PCI sonrası","75 mg/gün"
Kardiyovasküler Sistem,Atorvastatin,"Kas ağrısı, hepatit","Karaciğer yetmezliği, gebelik","LDL düşürücü","10-80 mg/gün"
Kardiyovasküler Sistem,Digoksin,"Bulantı, aritmi","AV blok, hiperkalemi","Serum düzeyi 0.5-2 ng/ml","0.125-0.25 mg/gün"
Solunum Sistemi,Salbutamol,"Titreme, taşikardi","Hipertiroidizm, aritmi","Acil bronkospazm","2-4 puff"
Solunum Sistemi,Ipratropium,"Ağız kuruluğu, kabızlık","Glokom, prostat hipertrofisi","Kronik bronşit","2-4 puff/gün"
Solunum Sistemi,Teofilin,"Nöbet, aritmi","Epilepsi, peptik ülser","Plazma düzeyi 10-20 mcg/ml","200-400 mg 2x1"
Solunum Sistemi,Montelukast,"Baş ağrısı, ajitasyon","Karaciğer yetmezliği, fenilketonüri","Astım profilaksisi","10 mg/gün"
Solunum Sistemi,Prednizon,"Hipertansiyon, osteoporoz","Sistemik mantar, aktif TB","KOAH alevlenme","40 mg/gün"
Solunum Sistemi,Oseltamivir,"Bulantı, psikoz","Böbrek yetmezliği, fenilketonüri","Grip tedavisi","75 mg 2x1"
Nörolojik Hastalıklar,Karbamazepin,"Sedasyon, rash","KM supresyonu, porfiri","Serum düzeyi kontrolü","200-400 mg 2x1"
Nörolojik Hastalıklar,Valproik asit,"Tremor, kilo artışı","Karaciğer hastalığı, gebelik","Epilepsi tedavisi","500-2000 mg/gün"
Nörolojik Hastalıklar,Levodopa,"Bulantı, diskinezi","Glokom, malign melanoma","Parkinson tedavisi","100-1000 mg/gün"
Nörolojik Hastalıklar,Donepezil,"Bulantı, kramp","Peptik ülser, astım","Alzheimer tedavisi","5-10 mg/gün"
Nörolojik Hastalıklar,Rivaroksaban,"Kanama, hematom","Aktif kanama, gebelik","AF tedavisi","20 mg/gün"
Nörolojik Hastalıklar,Topiramat,"Parestezi, kilo kaybı","Glokom, böbrek taşı","Migren profilaksisi","50-200 mg/gün"
Nörolojik Hastalıklar,Amantadin,"Ödem, konfüzyon","Psikoz, glokom","Parkinson tedavisi","100 mg 2x1"
Endokrin Sistem,Metformin,"Bulantı, laktik asidoz","Böbrek yetmezliği, alkolizm","Tip 2 DM","500-1000 mg 2x1"
Endokrin Sistem,Glimepirid,"Hipoglisemi, kilo artışı","Karaciğer yetmezliği, gebelik","Tip 2 DM","1-4 mg/gün"
Endokrin Sistem,İnsülin,"Hipoglisemi, lipodistrofi","Hipoglisemi, renal yetmezlik","Tip 1 DM","Bireysel doz"
Endokrin Sistem,Levotiroksin,"Taşikardi, terleme","Hipertiroidizm, adrenal yetmezlik","Hipotiroidi tedavisi","50-200 mcg/gün"
Endokrin Sistem,Metimazol,"Agranülositozis, rash","Karaciğer yetmezliği, gebelik","Hipertiroidi","10-30 mg/gün"
Endokrin Sistem,Pioglitazon,"Ödem, kalp yetmezliği","KKY, aktif KC hastalığı","Tip 2 DM","15-45 mg/gün"
Endokrin Sistem,Liraglutid,"Bulantı, pankreatit","MEN 2, medüller tiroid ca","Obezite tedavisi","0.6-3 mg SC"
Hematolojik Hastalıklar,Ferro sülfat,"Kabızlık, siyah dışkı","Hemokromatozis, talasemi","Demir eksikliği","200 mg/gün"
Hematolojik Hastalıklar,Epoetin alfa,"Hipertansiyon, tromboz","Aktif kanser, kontrolsüz HT","Kronik anemi","50-150 IU/kg"
Hematolojik Hastalıklar,Deferoksamin,"İşitme kaybı, rash","Gebelik, renal yetmezlik","Demir yüklenmesi","20-60 mg/kg"
Hematolojik Hastalıklar,Vitamin B12,"Akne, kaşıntı","Leber hastalığı, alerji","Pernisiyöz anemi","1000 mcg/gün"
Hematolojik Hastalıklar,Folik asit,"Nöbet, rash","Epilepsi, B12 eksikliği","Megaloblastik anemi","5 mg/gün"
Hematolojik Hastalıklar,Hidroksiüre,"KM supresyonu, rash","Gebelik, laktasyon","Orak hücre anemisi","500-1500 mg/gün"
Gastrointestinal Sistem,Omeprazol,"Baş ağrısı, hipomagnezemi","Kemik kırığı riski, C.diff","PPI","20-40 mg/gün"
Gastrointestinal Sistem,Loperamid,"Kabızlık, ileus","Akut dizanteri, toksik megakolon","İshal tedavisi","4 mg/gün"
Gastrointestinal Sistem,Mesalazin,"Baş ağrısı, nefrit","Böbrek yetmezliği, salisilat allerjisi","Ülseratif kolit","2-4 g/gün"
Gastrointestinal Sistem,Sukralfat,"Kabızlık, ağız kuruluğu","Diyaliz hastaları, alüminyum allerjisi","Peptik ülser","1 g 4x1"
Gastrointestinal Sistem,Ondansetron,"Kabızlık, baş ağrısı","Konjestif kalp yetmezliği, QT uzaması","Bulantı önleyici","8 mg IV"
Gastrointestinal Sistem,Ranitidin,"Baş ağrısı, konfüzyon","Böbrek yetmezliği, demans","H2 bloker","150 mg 2x1"
Enfeksiyon Hastalıkları,Amoksisilin,"İshal, allerji","Penisilin allerjisi, mononükleoz","Bakteriyel enfeksiyon","500 mg 3x1"
Enfeksiyon Hastalıkları,Sefuroksim,"İshal, candidiazis","Sefalosporin allerjisi, gebelik","RTI tedavisi","250 mg 2x1"
Enfeksiyon Hastalıkları,Azitromisin,"Bulantı, QT uzaması","Karaciğer yetmezliği, myastenia gravis","Klamidya tedavisi","500 mg/gün"
Enfeksiyon Hastalıkları,Metronidazol,"Metalik tat, nöropati","Alkol kullanımı, gebelik 1.trimestr","Anaerop tedavi","500 mg 3x1"
Enfeksiyon Hastalıkları,Ciprofloksasin,"Tendinit, QT uzaması","18 yaş altı, myastenia gravis","Üriner enfeksiyon","500 mg 2x1"
Enfeksiyon Hastalıkları,Vankomisin,"Nefrotoksisite, kızarıklık","Böbrek yetmezliği, işitme kaybı","MRSA tedavisi","1 g 2x1"
Enfeksiyon Hastalıkları,Flukonazol,"KC enzim artışı, QT uzaması","Karaciğer yetmezliği, gebelik","Kandidiazis","200 mg/gün"
Romatolojik Hastalıklar,İbuprofen,"Mide ağrısı, böbrek hasarı","Peptik ülser, KVH riski","NSAİİ","400 mg 3x1"
Romatolojik Hastalıklar,Naproksen,"Ödem, hipertansiyon","Kalp yetmezliği, gebelik 3.trimestr","NSAİİ","500 mg 2x1"
Romatolojik Hastalıklar,Kolşisin,"İshal, miyopati","Böbrek yetmezliği, sitokrom P450 inhibitörleri","Gut tedavisi","0.5 mg 2x1"
Romatolojik Hastalıklar,Methotrexat,"KM supresyonu, hepatit","Karaciğer yetmezliği, gebelik","RA tedavisi","7.5-25 mg/hafta"
Romatolojik Hastalıklar,Sulfasalazin,"Baş ağrısı, oligospermi","Sülfa allerjisi, G6PD eksikliği","RA tedavisi","500 mg 4x1"
Romatolojik Hastalıklar,Allopurinol,"Rash, hepatit","Kemoterapi alanlar, asemptomatik hiperürisemi","Gut profilaksisi","100-300 mg/gün"
Psikiyatrik Hastalıklar,Sertralin,"Uykusuzluk, seksüel disfonksiyon","MAO inhibitörü, karaciğer yetmezliği","Depresyon","50-200 mg/gün"
Psikiyatrik Hastalıklar,Olanzapin,"Sedasyon, kilo artışı","Demans, diyabet","Psikoz","5-20 mg/gün"
Psikiyatrik Hastalıklar,Diazepam,"Sedasyon, solunum depresyonu","Glokom, myastenia gravis","Anksiyete","5-10 mg"
Psikiyatrik Hastalıklar,Lityum,"Tremor, nefrojenik DI","Böbrek yetmezliği, dehidratasyon","Bipolar bozukluk","0.6-1.2 mEq/L"
Psikiyatrik Hastalıklar,Venlafaksin,"Hipertansiyon, terleme","Kalp hastalığı, glokom","Depresyon","75-225 mg/gün"
Psikiyatrik Hastalıklar,Quetiapin,"Sedasyon, hiperglisemi","Demans, katarakt","Psikoz","25-800 mg/gün"
Onkolojik Hastalıklar,Paklitaksel,"Nötropeni, nöropati","Karaciğer yetmezliği, gebelik","Kanser tedavisi","175 mg/m²"
Onkolojik Hastalıklar,Cisplatin,"Böbrek toksisitesi, ototoksisite","Böbrek yetmezliği, işitme kaybı","Kemoterapi","50-100 mg/m²"
Onkolojik Hastalıklar,Tamoksifen,"Endometrium ca, tromboz","Tromboemboli, gebelik","Meme ca","20 mg/gün"
Onkolojik Hastalıklar,İmatinib,"Ödem, kas krampları","Karaciğer yetmezliği, gebelik","Lösemi tedavisi","400-800 mg/gün"
Onkolojik Hastalıklar,Pembrolizumab,"Otoimmün yan etkiler","Organ nakli, gebelik","Melanoma","2 mg/kg"
Onkolojik Hastalıklar,Rituksimab,"İnfüzyon reaksiyonu","Hepatit B, kalp yetmezliği","Lenfoma","375 mg/m²"
Böbrek Hastalıkları,Furosemid,"Hipotansiyon, hipokalemi","Anüri, dehidratasyon","Diüretik","20-80 mg/gün"
